algorithm,reward_code,reward_mode,noise_code,sensor_noise_std,condition,seed,training_episodes,eval_episodes,eval_reward_mean,eval_reward_std,eval_reward_sem,crash_rate_pct,lap_completion_rate_pct,total_laps_completed,mean_laps_per_episode,distance_mean_px,distance_std_px,avg_length_steps,length_std_steps,avg_speed_px_step,speed_std_px_step,best_lap_time_s,avg_lap_time_s,max_training_reward,final_training_reward
TD3,R1,basic,N1,0.0,R1_N1,0,2000,20,30.000000000000295,3.645007325606123e-15,8.15048415854e-16,0.0,0.0,0,0.0,411.66386110994625,5.832011720969797e-14,600.0,0.0,0.6861064351832442,1.1390647892519134e-16,,,30.00000000000029,30.00000000000029
TD3,R1,basic,N1,0.0,R1_N1,42,2000,20,30.000000000000295,3.645007325606123e-15,8.15048415854e-16,0.0,0.0,0,0.0,844.4172015042143,1.1664023441939594e-13,600.0,0.0,1.4073620025070244,2.278129578503827e-16,,,30.00000000000029,30.00000000000029
TD3,R1,basic,N1,0.0,R1_N1,123,2000,20,30.000000000000295,3.645007325606123e-15,8.15048415854e-16,0.0,0.0,0,0.0,311.3627789285085,5.832011720969797e-14,600.0,0.0,0.5189379648808481,1.1390647892519134e-16,,,30.00000000000029,30.00000000000029
TD3,R1,basic,N2,0.02,R1_N2,0,2000,20,27.672500000000287,3.292394545327966,0.7362018012102844,0.0,0.0,0,0.0,115.13412164534948,3.6491857168472217,588.8,18.577292307375803,0.19565587860882977,0.006778668996387309,,,30.00000000000029,30.00000000000029
TD3,R1,basic,N2,0.02,R1_N2,42,2000,20,30.000000000000295,3.645007325606123e-15,8.15048415854e-16,0.0,0.0,0,0.0,987.9955953589695,12.000102554536683,600.0,0.0,1.6466593255982833,0.02000017092422778,,,30.00000000000029,30.00000000000029
TD3,R1,basic,N2,0.02,R1_N2,123,2000,20,26.33000000000025,7.544907658742322,1.6870926408906617,0.0,0.0,0,0.0,76.20154319949083,14.254945939724825,546.8,109.55633013972407,0.14030701783257954,0.009762770575404632,,,30.00000000000029,30.00000000000029
TD3,R1,basic,N3,0.05,R1_N3,0,2000,20,30.000000000000295,3.645007325606123e-15,8.15048415854e-16,0.0,0.0,0,0.0,95.40025944759836,2.730559390655931,600.0,0.0,0.15900043241266387,0.0045509323177598815,,,30.00000000000029,12.95000000000012
TD3,R1,basic,N3,0.05,R1_N3,42,2000,20,3.9499999999999913,9.112518314015307e-16,2.037621039635e-16,0.0,0.0,0,0.0,19.683570483240047,0.15539087939980467,180.0,0.0,0.10935316935133359,0.000863282663332232,,,30.00000000000029,23.800000000000274
TD3,R1,basic,N3,0.05,R1_N3,123,2000,20,30.000000000000295,3.645007325606123e-15,8.15048415854e-16,0.0,100.0,20,1.0,2995.4266224121666,20.595067771919563,600.0,0.0,4.992377704020277,0.03432511295319998,6.15,6.264166666666667,30.00000000000029,30.00000000000029
TD3,R2,shaped,N1,0.0,R2_N1,0,2000,20,119.56294616995402,2.9160058604848984e-14,6.520387326832e-15,0.0,0.0,0,0.0,727.7890591914826,1.1664023441939594e-13,600.0,0.0,1.2129817653191384,0.0,,,119.77301635190766,118.89929380931608
TD3,R2,shaped,N1,0.0,R2_N1,42,2000,20,118.66367332000951,0.0,0.0,0.0,0.0,0,0.0,959.4286551902933,0.0,600.0,0.0,1.5990477586504892,0.0,,,132.1333159608168,117.90256418027504
TD3,R2,shaped,N1,0.0,R2_N1,123,2000,20,119.46828557535314,0.0,0.0,0.0,0.0,0,0.0,445.3132590656185,0.0,600.0,0.0,0.7421887651093637,1.1390647892519134e-16,,,127.44871397173907,116.59139018258738
TD3,R2,shaped,N2,0.02,R2_N2,0,2000,20,119.45775525391495,0.02416569597854928,0.005403613893162949,0.0,0.0,0,0.0,141.0180908783196,1.3561658023227636,600.0,0.0,0.23503015146386602,0.0022602763372046248,,,122.87385432453425,3.1768838088174878
TD3,R2,shaped,N2,0.02,R2_N2,42,2000,20,117.79333165082303,1.2871640281215502,0.2878186265072237,0.0,0.0,0,0.0,164.61998559415932,2.889816144086822,600.0,0.0,0.2743666426569322,0.004816360240144733,,,119.59142002021001,117.69883804078103
TD3,R2,shaped,N2,0.02,R2_N2,123,2000,20,119.6057143629494,0.12976520824884238,0.0290163826758828,0.0,0.0,0,0.0,195.5462366001297,1.7999802713623405,600.0,0.0,0.3259103943335496,0.0029999671189373262,,,131.30653138772402,116.35687693172991
TD3,R2,shaped,N3,0.05,R2_N3,0,2000,20,118.77297534561683,0.17140631250163613,0.03832761665262304,0.0,0.0,0,0.0,587.20008115423,5.446445025768481,600.0,0.0,0.9786668019237166,0.009077408376280875,,,119.50047358806498,71.63230946050531
TD3,R2,shaped,N3,0.05,R2_N3,42,2000,20,119.805053262137,0.008213417829690818,0.001836576059479746,0.0,0.0,0,0.0,146.397299502324,1.601095801709552,600.0,0.0,0.24399549917053992,0.002668493002849233,,,119.67985443682777,118.56196165063939
TD3,R2,shaped,N3,0.05,R2_N3,123,2000,20,126.3078704240692,0.24289257561395627,0.05431243103028139,0.0,100.0,20,1.0,2984.707775122453,47.10867735365915,600.0,0.0,4.974512958537423,0.07851446225609969,6.1,6.340833333333333,130.7624395377858,119.55341151768074
TD3,R3,modified,N1,0.0,R3_N1,0,2000,20,172.78914714757175,2.9160058604848984e-14,6.520387326832e-15,0.0,100.0,20,1.0,3311.6337417677923,4.665609376775837e-13,600.0,0.0,5.519389569612995,9.112518314015307e-16,5.733333333333333,5.733333333333333,177.87701864202745,170.02794831906624
TD3,R3,modified,N1,0.0,R3_N1,42,2000,20,179.51437503240544,2.9160058604848984e-14,6.520387326832e-15,0.0,100.0,20,1.0,3178.6494239264407,4.665609376775837e-13,600.0,0.0,5.297749039877401,0.0,7.35,7.349999999999999,181.78146235217412,30.159232437603904
TD3,R3,modified,N1,0.0,R3_N1,123,2000,20,0.34384091291336727,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,,,179.1209511543617,97.84502485759066
TD3,R3,modified,N2,0.02,R3_N2,0,2000,20,158.55666727270665,0.17696219890787518,0.03956995062058479,0.0,0.0,0,0.0,556.6790369624501,3.8447989331237635,600.0,0.0,0.9277983949374168,0.006407998221872907,,,166.56407927603635,156.07488391038166
TD3,R3,modified,N2,0.02,R3_N2,42,2000,20,178.54140163294002,0.34729670058661916,0.07765790308730715,0.0,100.0,20,1.0,2521.210718468933,27.38105223379435,600.0,0.0,4.202017864114888,0.04563508705632297,8.85,9.075000000000001,181.18443944804238,158.24526942356934
TD3,R3,modified,N2,0.02,R3_N2,123,2000,20,153.94639631552917,0.03867819468168385,0.008648707255521592,0.0,0.0,0,0.0,126.16796864246756,1.8500599463960958,600.0,0.0,0.2102799477374459,0.00308343324399349,,,177.7409170072152,175.61127066153486
TD3,R3,modified,N3,0.05,R3_N3,0,2000,20,182.29644106571337,0.14422760083527036,0.032250271969936996,0.0,100.0,20,1.0,2786.295762724167,18.501172183813793,600.0,0.0,4.643826271206946,0.030835286973021975,8.7,8.825833333333332,182.00487367928903,159.6516227995994
TD3,R3,modified,N3,0.05,R3_N3,42,2000,20,152.39004530747602,27.245151696350103,6.092201125033253,10.0,0.0,0,0.0,1034.2914228642046,182.64879860418907,569.05,95.3119393857542,1.8130214397931503,0.039326255788654056,,,177.39493116897367,159.84843050560752
TD3,R3,modified,N3,0.05,R3_N3,123,2000,20,156.48202532431498,0.16741155220680062,0.03743436109531611,0.0,0.0,0,0.0,509.74687633480187,3.8652515783500476,600.0,0.0,0.8495781272246699,0.006442085963916765,,,161.9010504604125,157.22455660083762
TD3,R4,tuned,N1,0.0,R4_N1,0,2000,20,255.07871126532092,2.9160058604848984e-14,6.520387326832e-15,0.0,100.0,20,1.0,3021.626187665309,4.665609376775837e-13,600.0,0.0,5.036043646108849,0.0,6.516666666666667,6.5166666666666675,261.89737230780815,235.09983443396771
TD3,R4,tuned,N1,0.0,R4_N1,42,2000,20,262.61581443296393,0.0,0.0,0.0,100.0,20,1.0,3311.6728391632846,4.665609376775837e-13,600.0,0.0,5.519454731938803,9.112518314015307e-16,5.783333333333333,5.783333333333333,263.9458334037738,262.0539301326626
TD3,R4,tuned,N1,0.0,R4_N1,123,2000,20,258.3671826727578,0.0,0.0,0.0,100.0,20,1.0,3187.37030135237,0.0,600.0,0.0,5.312283835587283,9.112518314015307e-16,7.633333333333334,7.633333333333333,263.8809824220946,254.29578099006963
TD3,R4,tuned,N2,0.02,R4_N2,0,2000,20,232.10277751406065,33.80755741108933,7.5595996524422535,10.0,0.0,0,0.0,1579.4002243975046,288.77874263305654,574.35,78.94920085592682,2.724434613792277,0.2019077905333311,,,266.119905516255,236.90772357807668
TD3,R4,tuned,N2,0.02,R4_N2,42,2000,20,209.14391114882665,66.20402779336786,14.803670653025591,10.0,0.0,0,0.0,369.05905898198387,68.48302239651903,545.1,168.97894605697573,0.9223616295530496,0.8332501372712748,,,258.98116570237295,237.0440760525808
TD3,R4,tuned,N2,0.02,R4_N2,123,2000,20,216.1653499760816,41.351022452635014,9.246369714321197,25.0,0.0,0,0.0,806.4096880937392,131.2822400071254,560.7,103.74518378168086,1.4579311692182482,0.15171096360840391,,,264.79038374751224,223.54227265042175
